CUSTOMER_ID,CITY NAME,STATE ABBREVIATION,FIPS ZIP CODE,LON,LAT,EST HOUSEHOLD INCOME V5,LENGTH OF RESIDENCE,NUMBER OF ADULTS IN LIVING UNIT,MOSAIC HOUSEHOLD,CHILDREN: AGE 0-18 VERSION 3
17526938083,MINNEAPOLIS,MN,55423,-93.2902888555608,44.8840339302785,$150000-$174999,00,1,E19,Not Likely
77561952666,MINNEAPOLIS,MN,55426,-93.3993391915132,44.9366892277315,$35000-$49999,01,1,G25,Not Likely
57506900790,MINNEAPOLIS,MN,55421,-93.2457485674755,45.0433271325916,$35000-$49999,04,2,K40,Possible
87517904982,MINNEAPOLIS,MN,55421,-93.2407495795144,45.0390821612599,,00,0,U00,No
57548787940,MINNEAPOLIS,MN,55408,-93.2811603396205,44.9462148677558,$25000-$34999,00,1,S71,Possible
37548798028,MINNEAPOLIS,MN,55409,-93.2931787596929,44.9282035322499,$50000-$74999,33,2,E19,Possible
97526840602,MINNEAPOLIS,MN,55414,-93.2200961315969,44.9860680687466,$75000-$99999,05,2,O53,Possible
27509760666,MINNEAPOLIS,MN,55406,-93.2265081607205,44.9350553385443,$35000-$49999,01,2,O51,Possible
77669066641,MINNEAPOLIS,MN,55438,-93.3784270022848,44.8036898250945,$250000+,10,1,E19,Possible
17538895965,MINNEAPOLIS,MN,55420,-93.2781952819085,44.8489615282935,$100000-$124999,21,2,I31,Yes
87560855236,MINNEAPOLIS,MN,55416,-93.3518863062435,44.9475246494167,$35000-$49999,38,2,Q65,Not Likely
37512974963,MINNEAPOLIS,MN,55428,-93.373164459609,45.0873550584138,$15000-$24999,02,2,L42,Possible
87502766826,MINNEAPOLIS,MN,55407,-93.25371,44.94102,$50000-$74999,06,1,G24,Possible
47570855595,MINNEAPOLIS,MN,55416,-93.3547256908004,44.9408666294354,$50000-$74999,11,2,E20,Likely
37615088129,MINNEAPOLIS,MN,55443,-93.3228652590807,45.1368763583903,$50000-$74999,12,2,B08,Yes
57527790244,MINNEAPOLIS,MN,55408,-93.2811845934667,44.9422667865139,$75000-$99999,05,3,F22,Yes
47501737755,MINNEAPOLIS,MN,55404,-93.2652838086411,44.9627,$1000-$14999,14,1,Q65,Not Likely
67590875916,MINNEAPOLIS,MN,55418,-93.2283094575709,45.0214791146714,$150000-$174999,03,2,A05,Yes
77509953709,MINNEAPOLIS,MN,55426,-93.3677249704145,44.9288024214078,$25000-$34999,02,1,O54,Possible
87534879141,MINNEAPOLIS,MN,55418,-93.2398481154891,45.0317274999134,$1000-$14999,33,1,J34,Not Likely
87543781840,MINNEAPOLIS,MN,55408,-93.3047794773424,44.9485213009755,$25000-$34999,04,1,O54,Not Likely
77520835744,MINNEAPOLIS,MN,55414,-93.2083534927864,44.9558902473778,$15000-$24999,01,1,O54,Not Likely
27625099985,MINNEAPOLIS,MN,55444,-93.300339663064,45.1229006331178,$150000-$174999,26,2,C11,Not Likely
57565880430,MINNEAPOLIS,MN,55418,-93.24412,45.01681,$50000-$74999,02,1,G24,Possible
27596875342,MINNEAPOLIS,MN,55418,-93.2699159983103,45.0197601405694,$35000-$49999,24,2,L42,Not Likely
07533748769,MINNEAPOLIS,MN,55405,-93.2840108533321,44.9570538429509,$50000-$74999,14,1,G24,Possible
27585868052,MINNEAPOLIS,MN,55418,-93.2435383439095,45.0058034503822,$35000-$49999,05,1,O53,Possible
27687146976,MINNEAPOLIS,MN,55454,-93.2483218285033,44.9681686177637,$15000-$24999,13,5,Q65,Not Likely
37530874600,MINNEAPOLIS,MN,55418,-93.2723263297319,45.0159188212165,$50000-$74999,21,2,P56,Not Likely
07596864724,MINNEAPOLIS,MN,55417,-93.2541178073614,44.899253765958,$250000+,01,2,A05,Likely
67681052909,MINNEAPOLIS,MN,55436,-93.3520014781591,44.9140428714037,$50000-$74999,42,2,E19,Not Likely
87522857508,MINNEAPOLIS,MN,55417,-93.2560263510807,44.9153612244898,$150000-$174999,25,1,A04,Yes
67572780902,MINNEAPOLIS,MN,55408,-93.28716,44.94835,$35000-$49999,00,1,R66,Possible
07652031898,MINNEAPOLIS,MN,55433,-93.3448106333266,45.1759288343685,$15000-$24999,33,2,I31,Possible
97595728239,MINNEAPOLIS,MN,55403,-93.2824220326188,44.9749906787673,$1000-$14999,27,3,S71,Not Likely
17612035512,MINNEAPOLIS,MN,55434,-93.2420244621301,45.1551696969697,$50000-$74999,22,2,L42,Not Likely
87640013129,MINNEAPOLIS,MN,55432,-93.26478,45.1189371325916,$1000-$14999,00,1,K40,Not Likely
57542744250,MINNEAPOLIS,MN,55405,-93.30524,44.96984,$75000-$99999,09,1,K40,Possible
97650060370,MINNEAPOLIS,MN,55437,-93.3425914926128,44.8200441017725,$75000-$99999,27,2,B09,Yes
07630011325,MINNEAPOLIS,MN,55432,-93.2375575867043,45.1032771220121,$50000-$74999,04,2,F23,Yes
17647113403,MINNEAPOLIS,MN,55446,-93.4775967471827,45.0262094414189,$25000-$34999,05,2,E19,Not Likely
27634127256,MINNEAPOLIS,MN,55448,-93.2693465553368,45.1556089944303,$75000-$99999,02,2,F23,Yes
87635068169,MINNEAPOLIS,MN,55438,-93.3794349954114,44.8047986397454,$50000-$74999,20,1,L42,Not Likely
57558741353,MINNEAPOLIS,MN,55404,-93.2767450024985,44.9572119402754,$50000-$74999,06,7,K38,Yes
27575847036,MINNEAPOLIS,MN,55416,-93.3258274254053,44.9475490796132,,00,0,U00,No
97592768961,MINNEAPOLIS,MN,55407,-93.2484262245307,44.9528780995581,$75000-$99999,30,3,I32,Likely
27632022068,MINNEAPOLIS,MN,55432,-93.2488709323731,45.0909253375849,$15000-$24999,16,3,J34,Yes
27595768119,MINNEAPOLIS,MN,55407,-93.2649362170309,44.9550991836735,$75000-$99999,05,1,O54,Possible
17508770857,MINNEAPOLIS,MN,55407,-93.2475837527685,44.9461536734694,$250000+,10,1,G24,Likely
97500984831,MINNEAPOLIS,MN,55429,-93.3558751038597,45.0873971325916,$125000-$149999,00,1,O54,Possible
17551827290,MINNEAPOLIS,MN,55413,-93.2690386721517,45.0002699046007,$35000-$49999,00,1,O54,Possible
67579797462,MINNEAPOLIS,MN,55409,-93.2729043090335,44.9304187085309,$35000-$49999,01,2,O51,Possible
